id,goal_num,q_num,score,text,country
1,1,1.1,2.4375,"All the above mentioned strategies and processes are being in general taken into consideration, and some more precise and specific applications are being planned gradually to incorporate wetlands issues into all the above mentioned national strategies and planning processes and through the application of Strategic Environmental Assessment and Environmental Impact Assessment according to Law#444/2002 and the Decree# 8213/2012 and the Decree#8633/2012.",Lebanon
2,1,2.1,3,,Lebanon
3,1,2.2,2,,Lebanon
4,1,2.3,2,,Lebanon
5,1,2.4,1,,Lebanon
6,1,2.8,2,,Lebanon
7,1,2.1,0,,Lebanon
8,1,2.11,0,,Lebanon
9,1,2.12,-1,Planned,Lebanon
10,1,2.14,1,,Lebanon
11,1,3.1,3,This has been partially developped through the SEA of the National Water Sector Strategy (NWSS).,Lebanon
12,1,3.2,4,,Lebanon
13,1,3.3,2,Many National workshops will be planned and organized in cooperation with governmental and nongovernmental and academic agencies and institutions.,Lebanon
14,1,3.4,2,,Lebanon
15,1,4.1,3,Especially in the coastal Ramsar sites,Lebanon
16,1,4.2,2,,Lebanon
17,1,4.3,0,,Lebanon
18,1,4.4,5,,Lebanon
19,1,4.5,1,,Lebanon
20,2,5.1,2,"In addition of the Anjar-Kfarzabad wetland site that s being reviewed for its final designation, the Ministry of Environment is planning to designate the following sites: 1) Oyoun es Samak : fresh water springs and hydrological system, located in northern Lebanon in a mountainious area. 2) Oyoun Orghoch: fresh water springs and hydrological system, located in northern Lebanon in a mountainious area. 3) Jeita Karstic System: Cave and Karst system located in Central Lebanon. 4) Afqa/Roueiss Hydrosystem: 2 big springs of water with a rich ecosystem located in the Central Lebanese mountainious region. 5) Dardara waterfalls: waterfalls located on Assi River, in Bekaa region in Lebanon. 6) Mansouri Beach: The last turtles natural nesting beach in Lebanon, Located in South-Lebanon to the south of Tyre Coast Nature Reserve.",Lebanon
21,2,5.2,5,,Lebanon
23,2,5.6,2,,Lebanon
24,2,7.1,5,,Lebanon
25,2,7.2,3,,Lebanon
26,2,7.3,-1,,Lebanon
