id,goal_num,q_num,score,text,country
1,1,1.1,2.666666667,,Montenegro
2,1,2.1,3,"Through the CSBL project, in May 2017, the document ""Index of the functionality of the coastal zone-Skadar Lake"" was published. This document highlights a key aspect of the WFD - assessment of hydromorphological status. It consists of a combination of hydrological and morphological estimates. According to morphological, structural and biotic parameters, the results show that 46% of the total lake area falls into the high category, followed by the good category with 23.4%, the moderate category with 24.8%, the weak category with 0.92% and the bad category with 4.9%.",Montenegro
3,1,2.2,5,"The WFD is the basic instrument for the implementation of all EU directives related to water, as well as a platform for the coordination of activities on the implementation of other Community legal instruments and global initiatives. Among other issues, the WFD deals with protected areas, as areas that require additional protection. According to WFD Guidelines (2003), the management plan for each site should contain a map showing all protected areas, a map of the results of monitoring programs showing the status of all water bodies as well as protected areas. The WFD requires the establishment of a register of protected areas, including details of associated water bodies.",Montenegro
4,1,2.3,0,,Montenegro
5,1,2.4,3,"The implementation of the second phase of the regional project ""Sustainable use of Ohrid, Prespa Lake"" is underway with the support of the German Society for International Cooperation (GIZ) GmbH, which focuses on the development of the monitoring protocol and definition of measures for selected species of the Skadar Lake",Montenegro
6,1,2.8,5,"Yes, in some settlements.",Montenegro
7,1,2.1,3,,Montenegro
8,1,2.11,0,,Montenegro
9,1,2.12,-1,,Montenegro
10,1,2.14,1,,Montenegro
11,1,3.1,1,,Montenegro
12,1,3.2,1,,Montenegro
13,1,3.3,1,,Montenegro
14,1,3.4,1,,Montenegro
15,1,4.1,1,"According the National Strategy with Action Plan for trasposition, implementation and enforcment of the EU legislation on Environment and Climate Change 2016-2020 the National list of invasive alien species will be defined, comprehensive analysis of the pathways of unintentional introduction and spread of invasive alien species in the territory of Montenegro will be prepared, and effective management measures for invasive alien species will be established and applied in 2021. A surveillance system of invasive alien species will be established by 2021.",Montenegro
16,1,4.2,2,"According the National Strategy with Action Plan for transposition, implementation and enforcement of the EU legislation on Environment and Climate Change 2016-2020 the legal norms for Regulation (ELI) 1143/2014 (Invasive alien species) is fully established by adoption of a Law on Invasive Species in 2019, and relevant implementing acts during will be done until 2022",Montenegro
17,1,4.3,0,,Montenegro
18,1,4.4,5,,Montenegro
19,1,4.5,-1,,Montenegro
20,2,5.1,1,,Montenegro
21,2,5.2,1,,Montenegro
23,2,5.6,2,"1. National Park Skadar Lake, (Ramsar Site no. 784); 2. Nature reserve Tivat Salina, (Ramsar Site no. 2135); 3 Nature Park Ulcinj Salina (Ramsar Site no. 2399);",Montenegro
24,2,7.1,1,"According to the Law of the Nature Protection, manager of protected area has a obligations to prepare an Annual Report. In addition, within the Inspection Department, we have environmental inspectors who are in charge of controlling activities in protected areas.",Montenegro
25,2,7.2,3,,Montenegro
26,2,7.3,-1,,Montenegro
27,3,8.1,1,,Montenegro
28,3,8.2,5,,Montenegro
29,3,8.3,3,,Montenegro
30,3,8.4,2,Planned to provide universal and unlimited access to official biodiversity data which will be available 24/7; Also we improve systematic monitoring of biodiversity which is on continuous basis;,Montenegro
31,3,8.5,3,"One-year and five-year management plans for the National Parks of Montenegro (including the Skadar Lake National Park), Nature Parks (Ulcinjska Solana Nature Park), which also include assessments of the status of species and habitats. Management plan for the protected area Tivat Salt Reserve",Montenegro
32,3,8.7,-1,,Montenegro
33,3,9.1,2,,Montenegro
34,3,9.2,1,,Montenegro
35,3,9.3,2,,Montenegro
36,3,9.4,2,,Montenegro
37,3,9.5,2,,Montenegro
38,3,9.6,1,,Montenegro
39,3,9.7,2.333333333,"In the Law of National Parks, as well as in the Law of the Nature Protection, ecosystem services are defined by few articles. For now, the evaluation of ecosystem services has been made only for several protected areas in Montenegro. In the following period, we will continue with activities on evaluation of other protected areas.",Montenegro
40,3,9.8,1,,Montenegro
41,3,9.9,3,,Montenegro
42,3,10.1,5,"Through a public tender during the year 2017, Public Enterprise for Coastal Zone Management (who manage to Tivat Salina, Ramsar site number 2135) chose the company which prepared the Study of the Protection of Cultural Heritage in the nature reserve Tivat Salina.",Montenegro
43,3,10.2,2,,Montenegro
44,3,10.3,5,"Pursuant to the conclusion of the Government of Montenegro No. 08-149 / 2 of 2nd July 2013, the Public Enterprise for Costal Zone Management has obliged to submit annual information on the status of conservation of Tivat Salina and evaluate the implementation of the management of this protected area.",Montenegro
45,3,11.1,2,"In the Law of National Parks, as well as in the Law of the Nature Protection, ecosystem services are defined by few articles. For now, the evaluation of ecosystem services has been made only for several protected areas in Montenegro. In the following period, we will continue with activities on evaluation of other protected areas.",Montenegro
46,3,11.2,1,,Montenegro
47,3,11.3,3,"Partially, according managements plans in both of sites : 1. National park ""Skadar Lake"", number of site : 784 2. Nature reserve ""Tivat salina"", number of site: 2135",Montenegro
48,3,11.4,5,"Partially, according managements plans in both of sites : 1. National park ""Skadar Lake"", number of site : 784 2. Nature reserve ""Tivat salina"", number of site: 2135",Montenegro
49,3,12.1,1,,Montenegro
50,3,12.2,-1,"The Nature reserve ""Tivat salina"" has been rehabiltated (Ramsar site 2135).",Montenegro
51,3,12.3,-1,,Montenegro
52,3,13.1,5,"The Strategic Environmental Assessment (SEA) was introduced in the European Union in 2001 when the EU Directive on Strategic Environmental Impact Assessment came into force. EU candidate countries in the process of harmonization must translate the SEA Directive into national laws. In the course of adjusting European policies, in 2005, Montenegro adopted the Law on Strategic Environmental Impact Assessment (“OG of Montenegro” 80/05, and “OG of Montenegro” 59/11 and 52/16) (the SEA Law), which began on 1 January 2008. Since 2011, the amended version of the Act has been amended, which is fully aligned with the SEA Directive. The law is implemented both at the state and at the local levels. At national level, this law is the responsibility of the Environmental Protection Agency; while at local level this is the responsibility of local self-government units. The Environmental Protection Agency is responsible for issuing or denying the approval for the Report on Strategic Environmental Impact Assessment, while other ministries are competent for the implementation of the Strategic Environmental Impact Assessment. Montenegro is the signatory of the Convention on Environmental Impact Assessment in a Transboundary Context —ESPOO and of the respective Protocol on Strategic Environmental Assessment—SEA Protocol, implemented since 2009. The procedure of cross-border consultations has been implemented in accordance with the SEA Protocol.",Montenegro
