id,goal_num,q_num,score,text,country
1,1,1.1,3.75,,Tajikistan
2,1,2.1,5,"The Republic of Tajikistan is the center of the formation of water resources in Central Asia. In Tajikistan, the river flow formation zone accounts for 90% of its territory. Glaciers, rivers, lakes, reservoirs and underground waters form the basis of the water resources of the Republic of Tajikistan. In general, the average annual flow of rivers formed in Tajikistan is 64 km^3 / year, including 62.9 km^3 / year in the Amu Darya River basin and 1.1 km^3/year in the Syr Darya River basin. The rivers of Tajikistan form 55.4% of the average annual surface runoff of the Aral Sea basin. The average annual precipitation in Tajikistan is about 760 mm, varying from 100 mm in some parts of the south of the country to 2400 mm in the high mountains of the Pamirs. Climate change affects the state of water resources and every year natural disasters associated with climate change cause great damage to the country's economy. The runoff formation zone in Tajikistan is 90% of its territory. The melting of glaciers forms up to 25% of all water resources and they make up a significant part of the summer base flow, and in particularly dry years up to 50 %. During the flood period on all rivers passes from 70 to 90% of the annual flow. In general, the average annual flow of rivers formed in Tajikistan is 64 km3 / year, including 62.9 km3 in the Amu Darya basin and 1.1 km3 in the Syr Darya basin. Tajikistan's rivers provide 55.4% of the average annual surface runoff of the Aral Sea basin.",Tajikistan
3,1,2.2,3,Certain works were carried out in the Vakhsh River basin to regulate the flow of the Vakhsh River during the creation of the Rogun HPP.,Tajikistan
4,1,2.3,1,"With the support of WWF Russia, certain works are being carried out to clean up the coast and improve the condition of wetlands in the Tigrovaya Balka Nature Reserve and the Kairakum reservoir in Sughd region.",Tajikistan
5,1,2.4,2,"With the support of the Fund for Critical Ecosystems and the Wildlife Fund of the Russian Federation, a small project ""Assistance in the conservation of biodiversity in the upper reaches of the Kairakum reservoir"" by creating conditions for the fauna population is being implemented. The project is aimed at promoting biodiversity conservation by creating conditions for the development of flora and fauna on the territory of tugai forests (11,000 hectares) and the upper reaches of the Kairakkum reservoir. Within the framework of the project activities, it is planned to create natural conditions for the reproduction of fish stocks, ensure fire safety of tugai forests, strengthen the potential of the society of hunters and fishermen of the Kanibadam region for sustainable management of the territory and conduct an information campaign at the local level and involve the local population.",Tajikistan
6,1,2.8,3,"In the southern regions of the country, wastewater treatment technologies are being practiced, and special artificial reservoirs have been created to store and purify water for drinking and watering agricultural land.",Tajikistan
7,1,2.1,2,"The functional state of the treatment facilities is at a low level. The key national problems in this area are the conservation and strengthening of trends in the degradation of collective and other wastewater and sanitation systems, as well as the low efficiency of mechanisms and procedures for the management, operation and maintenance of these systems. The resolution of these problems is held back due to: - the lack of investment allocated for the maintenance, rehabilitation and development of collective and other wastewater and sanitation systems; - weak human and technical potential of enterprises - operators of wastewater and sanitation systems; - lack of water disposal and sanitation systems in the vast majority of rural settlements; - lack of backup equipment, spare parts and consumables to maintain the wastewater and sanitation infrastructure in working condition; - insufficient completeness and reliability of data on the state of wastewater and sanitation infrastructure to make effective management decisions.",Tajikistan
8,1,2.11,2,,Tajikistan
9,1,2.12,-1,"Wastewater is mainly used for irrigation in the cultivation of agricultural crops, irrigation of green spaces, in pond farms, etc..",Tajikistan
10,1,2.14,1,,Tajikistan
11,1,3.1,5,,Tajikistan
12,1,3.2,4,,Tajikistan
13,1,3.3,1,,Tajikistan
14,1,3.4,1,,Tajikistan
15,1,4.1,5,"The list of alien and invasive plant species is given in the National Strategy and Action Plan for the Conservation and Rational Use of Biodiversity of the Republic of Tajikistan 2003, 2016. Research is being conducted and methods are being developed to combat alien-invasive species in wetlands.",Tajikistan
16,1,4.2,3,"The Law of the Republic of Tajikistan ""On Environmental Protection"" and the law ""On Flora"" consider measures to combat alien-invasive species. Methodological guidelines for the control of alien invasive species in wetlands have been developed using the example of a snakehead in the Tigrovaya Balka Nature Reserve»",Tajikistan
17,1,4.3,1,,Tajikistan
18,1,4.4,5,,Tajikistan
19,1,4.5,1,,Tajikistan
20,2,5.1,5,The Ramsar lands of Tajikistan are defined in the National Biodiversity Strategy of Tajikistan. Tajikistan has 12 wetlands with an area of 200 hectares. It is planned to include the new wetlands in the list of Ramsar sites of global importance.,Tajikistan
21,2,5.2,5,5 Ramsar lands of the Republic of Tajikistan are registered in the Ramsar Site Information Service,Tajikistan
23,2,5.6,1,,Tajikistan
24,2,7.1,5,The administrative responsible body for the protection of wetlands is the Committee for Environmental Protection under the Government of the Republic of Tajikistan,Tajikistan
25,2,7.2,5,"A system of environmental monitoring has been developed, which is one of the indicators of pollution of water resources, in particular wetlands.",Tajikistan
26,2,7.3,1,,Tajikistan
27,3,8.1,2,,Tajikistan
28,3,8.2,1,,Tajikistan
29,3,8.3,3,Information on wetlands is contained in separate publications and programs. It is planned to include new territories in the list of Ramsar lands.,Tajikistan
30,3,8.4,-1,Information on wetlands is available in the database of the Environmental Protection Committee and the Environmental Action Center. Information on wetlands is published periodically in newspapers and websites and is available to the public,Tajikistan
31,3,8.5,5,,Tajikistan
32,3,8.7,-1,The Republic of Tajikistan does not have sufficient financial and technical potential to complete the inventory of wetlands. Financial support from donors is needed to conduct inventory in the wetlands and to implement projects for the conservation and restoration of wetlands.,Tajikistan
33,3,9.1,5,"State regulation in the field of use and protection of water resources in the Republic of Tajikistan is regulated by water legislation. The Water Code of the Republic of Tajikistan of 19.03.2020 regulates public relations related to the ownership, use and disposal of water and water bodies and is aimed at the protection and rational use of water resources, as well as the legal protection of water users.",Tajikistan
