id,goal_num,q_num,score,text,country
1,1,1.1,4.6875,"The above policies are addressed through federal legislation. As the United States operates as afederalist system, this does not include state legislation that may be more specific. Regulation ofwetlands, in general, is administered through fivefederal agencies: the Department of Interior,U.S. Fish and Wildlife Service; the U.S. Environmental Protection Agency; the Department ofCommerce, National Oceanic and Atmospheric Administration; the Department of Agriculture,Natural Resources Conservation Service; and the Department of Defense, U.S. Army Corps ofEngineers.One of the overarching pieces of legislation addressing the above elements is the NationalEnvironmental Policy Act of 1969 (NEPA). NEPA linked the critical importance of restoring andmaintaining environmental quality with overall welfare, declaring that it is the continuing policyof the Federal Government, in cooperation with State and local governments and otherconcerned public and private organizations, to useall practicable means and measures to fosterand promote the general welfare, creating and maintaining conditions under which humans andnature can exist in productive harmony. NEPA acknowledged the responsibility of the FederalGovernment to use all practical means to improve and coordinate federal plans, functions,programs, and resources in order that the Nation may fulfill its responsibilities as trustee of theenvironment for succeeding generations. More specifically, NEPA requires every federal agencyto examine the environmental impacts of proposed major federal actions and to considerreasonable alternatives and cumulative impacts, sharing its analysis with the public forcomment, before deciding on action. Because the substantive statute pursuant to which anagency is undertaking a particular action may provide broad discretionary power to agencydecision making, NEPA’s “procedural” requirements are often the principal, and in some casesthe most powerful tool available to citizens for challenging agency action in the courts. NEPAalso established a national policy for the environment and established the Council onEnvironmental Quality (CEQ). The Chair of CEQ serves as the President’s principal environmentalpolicy advisor. CEQ oversees Federal agencies' implementation of NEPA through regulationsimplementing the procedural provisions of the act and through interpretation of statutoryrequirements.https://www.epa.gov/laws-regulations/summary-national-environmental-policy-actThe Federal Government regulates, through Section 404 of the Clean Water Act, some of theactivities that occur in wetlands. The Section 404program originated in 1972, when Congresssubstantially amended the Federal Water Pollution Control Act and created a Federal regulatoryplan to control the discharge of dredged or fill materials into wetlands and other waters of theUnited States. Discharges are commonly associatedwith projects such as channel constructionand maintenance, port development, fills to createdry land for development sites near thewater, and water-control projects such as dams andlevees. Other kinds of activities, such as thestraightening of river channels to speed the flow of water downstream and clearing land, areregulated as Section 404 discharges if they involvedischarges of more than incidental amountsof soil or other materials into wetlands or other waters.https://www.epa.gov/cwa-404/overview-clean-water-act-section-404Illustrative examples of additional relevant legislation:Agriculture Improvement Act of 2018 (aka the Farm Bill) –https://www.congress.gov/115/plaws/publ334/PLAW-115publ334.pdfCoastal Zone Management Act –https://coast.noaa.gov/czm/act/",United States
2,1,2.1,5,"The U.S. Geological Survey (USGS) investigates theoccurrence, quantity, quality,distribution, and movement of surface and underground waters and disseminates the datato the public, state and local governments, publicand private utilities, and other federalagencies involved with managing water resources through the National Water InformationSystem (http://waterdata.usgs.gov/nwis).The USGS National Water Census-Data Portal (https://waterdata.usgs.gov/nwis) providesnational estimates of water budget components for local watersheds, withdrawal data forcounties, tools to calculate statistics of daily streamflow records, modeled dailystreamflow at ungauged stations, and access to records of aquatic biology observations",United States
3,1,2.2,5,"The USGS Cooperative Water Program collaborates with local, state, and tribal partners,as well as other federal agencies to increase understanding of how alteration ofstreamflow and land management activities affect ecological health of rivers and streamsacross the country.The USGS National Water Census Program develops products, tools, and web-accessiblearchitecture to help practitioners assess water budgets and possible impacts on aquatichealth, and run management scenarios to optimize water resources that support bothhuman and ecological needs.The USGS National Water Quality Assessment Programproduced a nationwide study onthe alteration of streamflow magnitudes and potential ecological consequences.The USGS Ecosystems Mission Area provides long termecological research in all aspectsof wetlands management, including issues such as large river management, ecologicalunderstanding of lakes, and biological understanding of fish and migratory birds.The USGS Climate Adaptation Science Centers deliverscience to managers to betterunderstand and adapt to changes in climate. Previous and ongoing projects address theimpacts of climate change on wetlands and aquatic resources. Some examples includeproviding terrestrial and wetland habitat maps foradaption planning, mapping wetlandhydrology in the Columbia Plateau, and enhancing coastal wetlands capacity to adapt tosea-level rise and development",United States
4,1,2.3,5,One illustrative example is the 2019 Colorado RiverDrought Contingency PlanAuthorization Act (P.L. 116-14). More informationcan be found here,United States
5,1,2.4,3,"While the management of water varies state to stateand even tribe to tribe throughout theUnited States, there are a number of examples on federally managed lands where themanagement of water is applied to decision-making processes for ecological restorationprograms.One such illustrative example comes from the Wetland State-and-Transition ModelProject (https://ecos.fws.gov/ServCat/Reference/Profile/54956):This project is designed to understand resources indifferent wetland states through watermanagement and monitoring of resource responses. The project is being implemented atsemi-permanently flooded wetland habitats throughout the Intermountain West andwestern Prairie Pothole regions that provide important resources for migrating andbreeding migratory birds and other wetland-dependent wildlife. Project sites includingsome of the largest wetland complexes as National Wildlife Refuges (NWRs) (e.g.,Benton Lake, Malheur, and Red Rock Lakes NWRs) andstate Wildlife ManagementAreas (WMAs) (e.g., Farmington Bay, Freezeout Lake,and Market Lake WMAs).Wetland management actions often mimic natural disturbance processes in order tomaintain ecological function in modified systems.Objectives for semi-permanentlyflooded wetland habitats within these regions typically focus on one of the two followingapproaches to management: 1) managing for wetland function to provide a desired plantcommunity, or 2) managing to provide habitat for aspecified population size and/or life-history requirement(s) of focal wildlife species.For example, sago pondweed (Stuckeniapectinata), a pioneering wetland plant species, ismore nutritious and often morepreferred by herbivorous migratory birds than species more tolerant of anoxic conditionssuch as shortspike watermilfoil (Myriophyllum sibiricum). Hence, managementobjectives for semi-permanently flooded wetlands often include maintaining a relativelyhigh abundance of sago pondweed for the benefit ofmigratory birds.The primary disturbance process of management interest in semi-permanently floodedwetland habitats is the dynamic wet/dry hydrological cycle, which is a key driver ofwetland productivity and vegetation community structure. Water level changes (eithermanaged or natural) are perturbations that influence nutrient turnover rates, vegetation,aquatic invertebrates, and resource availability for wetland-dependent wildlife. Thefrequency, timing, and duration of drawdowns (natural or managed) are important factorsin determining which vegetation community phases are expressed within a semi-permanently flooded wetland area. The ability to predict the response of vegetation towater level changes varies depending on the knowledge of the wetland system beingmanaged and life history characteristics of plants.The first component of this project isto build a common management framework for semi-permanently flooded wetlandhabitats across the three regions. The framework will incorporate ecological processes,and site and management potentials, to define a range of states and vegetationcommunity phases within states.This project was started in 2013 and is ongoing. Results are being used to fine-tunewetland management and Inventory and Monitoring Plans to verify local aquatic stateand transition models and water control schedules to optimize water bird numbers orwildlife diversity depending on a site’s managementobjectives and conservation goals.Results can be found at the ServCat link provided above for annual reports produced in2014-2019.",United States
6,1,2.8,-1,"In the context of SDG Target 6.3.1, constructed wetlands/ponds are generally not used aswastewater treatment for households in the United States. Constructed wetlands may beused as wastewater treatment in some cases in industrial and agricultural applications.Usually such systems would require permits issued under the Clean Water Act",United States
7,1,2.1,5,Wastewater treatment plants are required to be fully functional in order to meet permitrequirements which are legally enforced standards,United States
8,1,2.11,0,,United States
9,1,2.12,5,"As of 2017, there were 763 water reuse projects inthe United States",United States
10,1,2.14,5,A limited number of municipalities utilize wetlandsas a natural filter under localmanagement. The U.S. Federal government provides guidance through theEnvironmental Protection Agency (EPA). See examplebelow,United States
11,1,3.1,5,,United States
